id,session_id,problem_id,confidence,challenge,ai_predicted_confidence,ai_predicted_challenge,phase,knowledge_component,description_main,description_sub,human_gap,ai_gap,gap_difference
b2fd9940-45a7-4d5a-a4f5-803ed0f657d1,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-7-(2),3,3,2,5,final_check,行列演算と逆行列,"次を満たす2次正方行列 $P, Q_\theta, R_\theta$ を定めよ。","点 $(x,y)$ を原点の周りに角 $\theta$ だけ回転移動した点を $(x',y')$ とするとき、2点の関係を $\begin{bmatrix}x'\\ y'\end{bmatrix}=Q_\theta\begin{bmatrix}x\\ y\end{bmatrix}$ の形に書き表せ。",0,-3,3
68ac2049-a759-41bc-8f09-b0ab65b5cd7c,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-7-(3),3,3,2,5,final_check,行列演算と逆行列,"次を満たす2次正方行列 $P, Q_\theta, R_\theta$ を定めよ。","原点の周りに角 $\theta$ だけ回転移動した直線を $l_\theta$ とする。点 $(x,y)$ を $l_\theta$ に関して対称移動した点を $(x',y')$ とするとき、2点の関係を $\begin{bmatrix}x'\\ y'\end{bmatrix}=R_\theta\begin{bmatrix}x\\ y\end{bmatrix}$ の形に書き表せ。",0,-3,3
b293c268-f63a-4596-91f6-fe228857dfcf,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-Rep-2,3,3,5,2,final_check,行列演算と逆行列,"$X=\begin{bmatrix}1&1\\ -1&1\\ 2&1\end{bmatrix}, Y=\begin{bmatrix}-1&2\\ 1&-1\end{bmatrix}$ とする。","$XY, YX, XY'X, Y'XY, XYX$ のうちで積が定義されているものをすべて挙げ、それぞれ積を求めよ。",0,3,3
88aedab5-74a5-41a5-a37b-a62903bb9eb0,1c6b12f7-f8d9-4109-bf87-09b3975f7829,4-1-(1),3,3,6,1,final_check,行列演算と逆行列,次の行列に行基本変形を行い、簡約行列に変形せよ。,$\begin{bmatrix}0&-1&2\\ 1&0&-1\\ 0&0&0\end{bmatrix}$,0,5,5
da262e06-baeb-4812-8e44-0ff4dedacf18,1c6b12f7-f8d9-4109-bf87-09b3975f7829,4-Rep-2,3,3,3,3,final_check,行列演算と逆行列,次の行列の階数を求めよ。($a$ の値に応じて場合分けせよ),$\begin{bmatrix}a&2a+2&5\\ a+3&a^2&2\\ -1&1&1\end{bmatrix}$,0,0,0
65738690-4a6b-45ab-9f98-4f987547e059,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-1-(2),3,3,3,3,final_check,行列演算と逆行列,"$A=\begin{bmatrix}a&b\\ c&d\end{bmatrix}, \tilde{A}=\begin{bmatrix}d&-b\\ -c&a\end{bmatrix}, B=\begin{bmatrix}e&f\\ g&h\end{bmatrix}$ とする。",$A\tilde{A}$ を計算せよ。,0,0,0
796ce63b-eedb-43df-9db0-1c50042f2711,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-1-(5),3,3,1,6,final_check,行列演算と逆行列,"$A=\begin{bmatrix}a&b\\ c&d\end{bmatrix}, \tilde{A}=\begin{bmatrix}d&-b\\ -c&a\end{bmatrix}, B=\begin{bmatrix}e&f\\ g&h\end{bmatrix}$ とする。",$|A|\neq 0$ と $A$ が正則であることは同値であることを示せ。,0,-5,5
1516805a-c704-48a5-9ced-1ec0bab33567,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-2-(1),3,3,3,3,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}e^x&-1\\ 0&e^y\end{bmatrix}$,0,0,0
77664f4e-0469-4bfb-a55f-c1bf8c95bb3e,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-4-(3),3,3,5,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$BC$,0,3,3
f52c2c4e-5192-46b4-94cd-d967e5ebeb1e,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-4-(4),3,3,4,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$A C^t B^t$,0,2,2
